acerbic;The sun struggles up another beautiful day And I felt glad in my own suspicious way Yeah, yeah, yeah, yeah Despite the contradiction and confusion Felt tragic without reason There's malice and there's magic in every season  From the foaming breakers of the poisonous surf The other side of summer To the burning forests in the hills of Astroturf The other side of summer  The automatic gates close up between the shanties and the palace The blowtorch amusements, the voodoo chalice The pale pathetic promises that everybody swallows A teenage girl is crying 'cause she don't look like a million dollars So help her if you can 'Cause she don't seem to have the attention span  From the foaming breakers of the poisonous surf The other side of summer To the burning forests in the hills of Astroturf The other side of summer  Was it a millionaire who said "imagine no possessions"? A poor little schoolboy who said "we don't need no lessons"? The rabid rebel dogs ransack the shampoo shop The pop princess is downtown shooting up And if that goddess if fit for burning The sun will struggle up the world will still keep turning  Madman standing by the side of the road saying "Look at my eyes, look at my eyes, look at my eyes, look at my eyes" Yeah, yeah, yeah, yeah Now you can't afford to fake all the drugs your parents used to take Because of their mistakes you'd better be wide awake  From the foaming breakers of the poisonous surf The other side of summer To the burning forests in the hills of Astroturf The other side of summer  The mightiest rose, the absence of perfume The casual killers, the military curfew The cardboard city and the unwanted birthday The other side of summer  The dancing was desperate, the music was worse They bury your dreams and dig up the worthless Goodnight, God bless and kiss "goodbye" to the earth The other side of summer The other side of summer The other side of summer The other side of summer  The other side of summer The other side of summer The other side, the other side The other side of;Elvis Costello;The Other Side of Summer
acerbic;Nobody feels any pain Tonight as I stand inside the rain Everybody knows that baby's got new clothes But lately I see her ribbons and her bows Have fallen from her curls  She takes just like a woman Yes, she does, she makes love just like a woman Yes, she does, and she aches just like a woman But she breaks just like a little girl  Queen Mary, she's my friend Yes, I believe I'll go see her again Nobody has to guess that baby can't be blessed 'Til she finally sees that she's like all the rest With her fog, her amphetamine, and her pearls  She takes just like a woman Yes, she makes love just like a woman Yes, she does, and she aches just like a woman But she breaks just like a little girl  It was raining from the first and I was dying there of thirst So I came in here And your long-time curse hurts, but what's worse Is this pain in here, I can't stay in here, ain't it clear  That I just can't fit Yes, I believe that it's time for us to quit But when we meet again, introduced as friends Please don't let on that you knew me when I was hungry and it was your world  Ah, you fake just like a woman Yes, you do, you make love just like a woman Yes, you do, then you ache just like a woman But you break just like a little girl;Bob Dylan;Just Like a Woman
acerbic;You Gave Me Something, I Understand,  You Gave Me Loving In The Palm Of My Hand  I Can't Tell You How I Feel  My Heart Is Like A Wheel..  Let Me Roll It  Let Me Roll It To You  Let Me Roll It  Let Me Toll It To You.   I Want To Tell You  And Now's The Time  I Want To Tell You That  You're Going To Be Mine..  I Can't Tell You How I Feel  My Heart Is Like A Wheel..  Let Me Roll It  Let Me Roll It To You  Let Me Roll It  Let Me Roll It To You.;Paul McCartney;Let Me Roll It
acerbic;You walk into the room With your pencil in your hand You see somebody naked And you say, "Who is that man?" You try so hard But you don't understand Just what you'll say When you get home  Because something is happening here But you don't know what it is Do you, Mister Jones?  You raise up your head And you ask, "Is this where it is?" And somebody points to you and says "It's his" And you say, "What's mine?" And somebody else says, "Where what is?" And you say, "Oh my God Am I here all alone?"  But something is happening And you don't know what it is Do you, Mister Jones?  You hand in your ticket And you go watch the geek Who immediately walks up to you When he hears you speak And says, "How does it feel To be such a freak?" And you say, "Impossible" As he hands you a bone  And something is happening here But you don't know what it is Do you, Mister Jones?  You have many contacts Among the lumberjacks To get you facts When someone attacks your imagination But nobody has any respect Anyway they already expect you To all give a check To tax-deductible charity organizations  You've been with the professors And they've all liked your looks With great lawyers you have Discussed lepers and crooks You've been through all of F. Scott Fitzgerald's books You're very well read It's well known  But something is happening here And you don't know what it is Do you, Mister Jones?  Well, the sword swallower, he comes up to you And then he kneels He crosses himself And then he clicks his high heels And without further notice He asks you how it feels And he says, "Here is your throat back Thanks for the loan"  And you know something is happening But you don't know what it is Do you, Mister Jones?  Now you see this one-eyed midget Shouting the word "Now" And you say, "For what reason?" And he says, "How?" And you say, "What does this mean?" And he screams back, "You're a cow Give me some milk Or else go home"  And you know something is happening But you don't know what it is Do you, Mister Jones?  Well, you walk into the room Like a camel and then you frown You put your eyes in your pocket And your nose on the ground There ought to be a law Against you comin' around You should be made To wear earphones  'Cause something is happening And you don't know what it is Do you, Mister Jones?;Bob Dylan;Ballad of a Thin Man
aggressive;If you like to gamble, I tell you I'm your man You win some, lose some, it's all the same to me The pleasure is to play, it makes no difference what you say I don't share your greed, the only card I need is The ace of spades The ace of spades  Playing for the high one, dancing with the devil Going with the flow, it's all a game to me Seven or eleven, snake eyes watching you Double up or quit, double stake or split The ace of spades The ace of spades  You know I'm born to lose And gambling's for fools But that's the way I like it, baby I don't wanna live forever  And don't forget the joker  Pushing up the ante, I know you've got to see me Read 'em and weep, the dead man's hand again I see it in your eyes, take one look and die The only thing you see, you know it's gonna be The ace of spades The ace of spades;Motörhead;Ace of Spades
aggressive;Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie Bawitdaba-da bang-da-dang-diggy-diggy-diggy Said the boogie-said up drop the boogie. Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie Bawitdaba-da bang-da-dang-diggy-diggy-diggy Said the boogie-said up drop the boogie. Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie Bawitdaba-da bang-da-dang-diggy-diggy-diggy Said the boogie-said up drop the boogie. Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie  My name is Kid... Kid Rock!  Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie. Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie Bawitdaba-da bang-da-dang-diggy-diggy-diggy Said the boogie-said up drop the boogie.  And this is for the questions that don't have any answers The midnight glances at the topless dancers The gander freaks, cars packed with speakers The G's with the 40's and the chicks with beepers The northern lights and the southern comfort And it don't even matter if their veins are punctured All the crackheads, the critics, the cynics And all my heroes in the methadone clinics All you bastards at the I.R.S. For the crooked cops and the cluttered desks For the shots of Jack and the caps of meth Half pints of love and the 5th's of stress For the hookers all trickin' out in Hollywood And for my hoods of the world misunderstood I said it's all good and it's all in fun. Now get in the pit and try to love someone!!!  Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie Love someone! Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie. Kill someone! Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie Love someone! Bawitdaba-da bang-da-dang-diggy-diggy-diggy Said the boogie-said up drop the boogie. Come on, come on...  For the time bombs tickin' and the heads to hang All the gangs gettin' money and all the heads they bang-bang Wild mustangs, the porno flicks All my homies in the county in Cell Block 6 The grits where there ain't enough eggs to cook And for D.B. Cooper and the money he took You can look for answers but that ain't fun. Now get in the pit and try to love someone!!!   Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie. Come on... Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie Bawitdaba-da bang-da-dang-diggy-diggy-diggy Said the boogie-said up drop the boogie.  Love... And for the hate... And for the peace... War!!  Bawitdaba da bang-da-bang diggy-diggy-diggy Said the boogie-said up jump the boogie Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie. Come on...! Bawitdaba-da bang-da-bang-diggy-diggy-diggy Said the boogie-said up jump the boogie Bawitdaba-da bang-da-dang-diggy-diggy-diggy Said the boogie-said up drop the boogie.;Kid Rock;Bawitdaba
acerbic;Got a good reason For taking the easy way out Got a good reason For taking the easy way out, now She was a day tripper One way ticket, yeah It took me so long to find out And I found out  She's a big teaser She took me half the way there She's a big teaser She took me half the way there, now She was a day tripper One way ticket, yeah It took me so long to find out And I found out (Hey)  Ah, ah, ah Ah, ah Ah  Tried to please her She only played one-night stands Tried to please her She only played one-night stands, now She was a day tripper Sunday driver, yeah It took me so long to find out And I found out  Day tripper (yeah) Day tripper, yeah  Day tripper Day tripper, yeah  Day tripper;The Beatles;Day Tripper
acerbic;You Gave Me Something, I Understand,  You Gave Me Loving In The Palm Of My Hand  I Can't Tell You How I Feel  My Heart Is Like A Wheel..  Let Me Roll It  Let Me Roll It To You  Let Me Roll It  Let Me Toll It To You.   I Want To Tell You  And Now's The Time  I Want To Tell You That  You're Going To Be Mine..  I Can't Tell You How I Feel  My Heart Is Like A Wheel..  Let Me Roll It  Let Me Roll It To You  Let Me Roll It  Let Me Roll It To You.;Paul McCartney;Let Me Roll It
acerbic;Sheepdog standing in the rain Bullfrog doing it again Some kind of happiness is measured out in miles What makes you think you're something special when you smile?  Childlike, no one understands Jack-knife in your sweaty hands Some kind of innocence is measured out in years You don't know what it's like to listen to your fears  You can talk to me You can talk to me You can talk to me If you're lonely, you can talk to me  Big man (yeah?) walking in the park Wigwam frightened of the dark Some kind of solitude is measured out in you You think you know me, but you haven't got a clue  You can talk to me You can talk to me You can talk to me If you're lonely, you can talk to me Hey!  Hey, bulldog Hey, bulldog Hey, bulldog Hey, bulldog  Spoken: Paul: Hey, man. John: What's that, boy? Paul: Ruff! John: What do you say? Paul: I say, "Woof!" John: Do you know any more? Paul: Awooo arf! John: Ah-ha-ha! Paul: You've got it! That's it! You've got it! That's it, man! Whoo! That's it, you've got it!   John: [Screams hysterically] Paul: Don't look at me, man, I only have ten children. Hoo! John: Ah-ho!  Ha-ha-ha aarrh ha-ha-ha! Paul: Quiet, boy, quiet! John: Okay. Paul: Quiet!  Hey, bulldog Hey, bulldog...;The Beatles;Hey Bulldog
aggressive;You know the day destroys the night Night divides the day Tried to run Tried to hide Break on through to the other side Break on through to the other side Break on through to the other side, yeah  We chased our pleasures here Dug our treasures there A-can you still recall Time we cried? Break on through to the other side Break on through to the other side Hey!  Come on! Yeah  Everybody loves my baby Everybody loves my baby  She get high, she get high, she get high She get high, yeah  I found an island in your arms Country in your eyes Arms that chained us Eyes that lied Break on through to the other side Break on through to the other side Break on through, ow! Aw yeah!  Made the scene, week to week Day to day, hour to hour Gate is straight Deep and wide Break on through to the other side Break on through to the other side  Break on through, break on through Break on through, break on through  Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah;The Doors;Break on Through (To the Other Side)
