acerbic,hedonistic,sleazy,snide,trashy;You're gonna get it straight from the shoulder  Can't you see the party's over  Let me go   Can't you get it through your thick head  This affair is finished - dead  Hey, let me go   I tried giving you the velvet gloves  I tried giving you the knockout punch  Hey, let me go  Let me go  Let me go  Let me go  Let me go   I find it hard to be cruel  I find it hard to be cruel  With a smile, don't you?  You'll never find that perfect love  That you read about  That you dream about   Maybe I'll become a playboy  Hang around in gay bars  And move to the west side of town   You're gonna get it straight from the shoulder  Can't you see the party's over  Hey, let me go  Let me go   So you think I'm giving you the brush off  Well I'm just telling you to shove off  Hey, let me go   This ain't no time to waste my breath  We're going into sudden death  Hey, let me go   Can't you get it through your thick head  This affair is dead as a doornail  Hey, baby won't you let me go   The bell has rung, and I've called time  The chair is on the table, out the door baby   Baby won't you let me go  Let me go...;The Rolling Stones;Let Me Go
acerbic,bitter,irreverent,sparse;I hear the train a comin' It's rolling round the bend And I ain't seen the sunshine since I don't know when, I'm stuck in Folsom prison, and time keeps draggin' on But that train keeps a rollin' on down to San Antone..  When I was just a baby my mama told me "Son, Always be a good boy, don't ever play with guns." But I shot a man in Reno just to watch him die When I hear that whistle blowin', I hang my head and cry..  I bet there's rich folks eating in a fancy dining car They're probably drinkin' coffee and smoking big cigars. Well I know I had it coming, I know I can't be free But those people keep a movin' And that's what tortures me...  Well if they freed me from this prison, If that railroad train was mine I bet I'd move it on a little farther down the line Far from Folsom prison, that's where I want to stay And I'd let that lonesome whistle blow my blues away...;Johnny Cash;Folsom Prison Blues
acerbic,cynical-sarcastic,snide;Why put this sadness inside of me  Why be so matter-of-fact  Why put this one bit of hope in me  You sold me out and that's that   I hope that you're having fun with me  There's not much left to attack  I hope that you're nearly done with me  You sold me out and that's that   All sold out i'd never seen  A mind so tangled, a girl so strangled  All sold out well i felt so green  It was just like that  I was put down flat  I was sold out just like that  Oh baby   All sold out i'd never seen  A mind so tangled, a girl so strangled  All sold out well i felt so green  It was just like that  I was put down flat  I was sold out just like that   I missed the point of you doing it  Your mind has just jumped the track  I took a bit different view of it  You sold me out and that's that   Hey hey, that's that;The Rolling Stones;All Sold Out
acerbic,bitter;I've got every reason on earth to be mad 'Cause I just lost the only girl I had If I could get my way I'd get myself locked up today But I can't, so I'll cry instead  I've got a chip on my shoulder that's bigger than my feet I can't talk to people that I meet If I could see you now I'd try to make you sad somehow But I can't, so I'll cry instead  Don't want to cry when there's people there I get shy when they start to stare I'm gonna hide myself away But I'll come back again someday  And when I do, you'd better hide all the girls I'm gonna break their hearts all 'round the world Yes, I'm gonna break 'em in two And show you what your loving man can do Until then, I'll cry instead  Don't want to cry when there's people there I get shy when they start to stare I'm gonna hide myself away But I'll come back again someday  And when I do, you'd better hide all the girls 'Cause I'm gonna break their hearts all 'round the world Yes, I'm gonna break 'em in two And show you what your loving man can do Until then, I'll cry instead;The Beatles;I'll Cry Instead
acerbic,menacing,rollicking,swaggering;I got something to say That might cause you pain If I catch you talking To that boy again I'm gonna let you down And leave you flat Because I told you before Oh, you can't do that  Well, it's the second time I've caught you talking to him Do I have to tell you one more time I think it's a sin? I think I'll let you down (Let you down) And leave you flat (Gonna let you down and leave you flat) Because I told you before Oh, you can't do that  Everybody's green 'Cos I'm the one who won your love But if they'd seen You talking that way They'd laugh in my face  So, please listen to me If you want to stay mine I can't help my feelings I'd go out of my mind I'm gonna let you down (Let you down) And leave you flat (Gonna let you down and leave you flat) Because I told you before Oh, you can't do that  You can't do that  Everybody's green 'Cos I'm the one who won your love But if they'd seen You talking that way They'd laugh in my face  So, please listen to me If you want to stay mine I can't help my feelings I'd go out of my mind I'll go and let you down (Let you down) And leave you flat (Gonna let you down and leave you flat) Because I told you before Oh, you can't do that;The Beatles;You Can't Do That
acerbic,bitter,wry;When I call you up Your line's engaged I have had enough So act your age We have lost the time That was so hard to find And I will lose my mind If you won't see me (You won't see me) You won't see me (You won't see me)  I don't know why you (Ooh-ooh) (La la-la) Should want to hide (Ooh-ooh) (La la-la) But I can't get through (Ooh-ooh) (La la-la) My hands are tied (Ooh-ooh) (La la-la) I won't want to stay (Ooh-ooh) (La la-la) I don't have much to say (Ooh-ooh) (La la-la) But I'd get turned away (Ooh-ooh) (La la-la) And you won't see me (You won't see me) You won't see me (You won't see me)  Time after time You refuse to even listen I wouldn't mind If I knew what I was missing (No, I wouldn't, no, I wouldn't)  Though the days are few (Ooh-ooh) (La la-la) They're filled with tears (Ooh-ooh) (La la-la) And since I lost you (Ooh-ooh) (La la-la) It feels like years (Ooh-ooh) (La la-la) Yes, it seems so long (Ooh-ooh) (La la-la) Girl, since you've been gone (Ooh-ooh) (La la-la) And I just can' go on (Ooh-ooh) (La la-la) If you won't see me (You won't see me) You won't see me (You won't see me)  Time after time You refuse to even listen I wouldn't mind If I knew what I was missing (No, I wouldn't, no, I wouldn't)  Though the days are few (Ooh-ooh) (La la-la) They're filled with tears (Ooh-ooh) (La la-la) And since I lost you (Ooh-ooh) (La la-la) It feels like years (Ooh-ooh) (La la-la) Yes, it seems so long (Ooh-ooh) (La la-la) Girl, since you've been gone (Ooh-ooh) (La la-la) And I just can' go on (Ooh-ooh) (La la-la) If you won't see me (You won't see me) You won't see me (You won't see me)  Hey! Ah-ah! Yeah, yeah! Woah, woah. (Ooh-ooh la la-la) (Ooh-ooh la la-la) (Ooh-ooh la la-la);The Beatles;You Won't See Me
acerbic,bitter,nocturnal,ominous,sardonic,snide,trippy;I've got a word or two To say about the things that you do You're telling all those lies About the good things that we can have If we close our eyes  Do what you want to do And go where you're going to Think for yourself 'Cos I won't be there with you  I left you far behind The ruins of the life that you have in mind And though you still can't see I know your mind's made up You're gonna cause more misery  Do what you want to do And go where you're going to Think for yourself 'Cos I won't be there with you  Although your mind's opaque Try thinking more if just for your own sake The future still looks good And you've got time to rectify All the things that you should  Do what you want to do And go where you're going to Think for yourself 'Cos I won't be there with you  Do what you want to do And go where you're going to Think for yourself 'Cos I won't be there with you Think for yourself 'Cos I won't be there with you;The Beatles;Think for Yourself
acerbic,circular,complex,cynical-sarcastic,druggy,menacing,ominous,paranoid,provocative,sardonic,snide,sprawling,wry;She's not a girl who misses much Do-do do-do do-do Oh, yeah  She's well-acquainted with the touch of the velvet hand like a lizard on a window pane The man in the crowd with the multi-coloured mirror's on his hobnail boots Lying with his eyes while his hands are busy working overtime A soap impression of his wife which he ate and donated to the National Trust  I need a fix, 'cause I'm going down Down to the bits that I left uptown I need a fix, 'cause I'm going down  Mother Superior jump the gun Mother Superior jump the gun Mother Superior jump the gun Mother Superior jump the gun Mother Superior jump the gun Mother Superior jump the gun  Happiness (happiness) is a warm gun (bang bang, shoot shoot) Happiness (happiness) is a warm gun, mama (bang bang, shoot shoot) When I hold you in my arms (oh, yeah) And I feel (oo) my finger on your trigger (oh, yeah) I know (oo) nobody can do me no harm (oh, yeah) Because (happiness) is a warm gun, mama (bang bang, shoot shoot) Happiness (happiness) is a warm gun, yes, it is (bang bang, shoot shoot)  Happiness is a warm ó yes it is ó gun (happiness) (Bang bang, shoot shoot) Well, don't you know that happiness (happiness) is a warm gun (is a warm gun), mama? (Yeah);The Beatles;Happiness Is a Warm Gun
acerbic,angry,bitter,eccentric,enigmatic,lush,meandering,sardonic,sexy,trippy,weary;Sexy Sadie, what have you done? You made a fool of everyone You made a fool of everyone (wa wa wa wa wa wa wa wa) Sexy Sadie (wa wa wa wa), oh, what have you done? (wa wa wa wa)  (Wa wa wa wa) Sexy Sadie (wa wa wa wa wa wa wa), you broke the rules You laid it down for all to see You laid it down for all to see (see see see see see see see see) Sexy Sadie (see see see see), oh, you broke the rules (see see see see)  (Sexy Sadie, oh) One sunny day the world was waiting for a lover She came along to turn on everyone  Sexy Sadie (sexy Sadie) The greatest (she's the greatest) of them all (wa wa wa wa wa wa wa wa)  Sexy Sadie, how did you know The world was waiting just for you? The world was waiting just for you (wa wa wa wa wa wa wa wa) Sexy Sadie (wa wa wa wa), oh, how did you know? (wa wa wa wa)  (Wa wa wa wa) Sexy Sadie (wa wa wa wa wa wa waa), you'll get yours yet  However big you think you are  However big you think you are (wa wa wa wa wa wa wa wa) Sexy Sadie (wa wa wa wa), oh, you'll get yours yet (wa wa wa)  (Sexy Sadie) We gave her everything we owned just to sit at her table  Just a smile would lighten everything  Sexy Sadie (sexy Sadie) She's the latest and the greatest (she's the greatest) of them all (Sexy Sadie) (She's the latest and the greatest of them all)  Woo  She made a fool of everyone Sexy Sadie (Sexy Sadie)  However big you think you are  Sexy Sadie (Sexy Sadie);The Beatles;Sexy Sadie
acerbic,complex,difficult,druggy,eccentric,eerie,elaborate,enigmatic,epic,ethereal,freewheeling,hypnotic,indulgent,intense,irreverent,knotty,messy,nocturnal,ominous,playful,quirky,sardonic,spooky,sprawling,theatrical,trippy;I am he as you are he as you are me and we are all together See how they run like pigs from a gun See how they fly I'm crying  Sitting on a cornflake Waiting for the van to come Corporation T-shirt Stupid bloody Tuesday Man, you've been a naughty boy You let your face grow long  I am the Eggman (whoo!) They are the Eggmen (whoo!) I am the Walrus Goo goo g'joob  Mister city policeman sitting Pretty little policemen in a row See how they fly like Lucy in the sky See how they run I'm crying I'm cry-'-ng (Ahhh!) I'm crying I'm cry-'- (whoooo!)  Yellow matter custard Dripping from a dead dog's eye Crabalocker fishwife Pornographic priestess Boy, you've been a naughty girl You let your knickers down  I am the Eggman They are the Eggmen I am the Walrus Goo goo g'joob  Sitting in an English garden Waiting for the sun If the sun don't come You get a tan from standing in the English rain  I am the Eggman (Now, good sir, ...) They are the Eggmen (... poor man, made tame to fortune's...) I am the Walrus Goo goo g'joob goo goo g'joob  Expert texpert, choking smokers Don't you think the joker laughs at you? (Ho-ho-ho!  Hee-hee-hee!  Ha-ha-ha!) See how they smile like pigs in a sty See how they schnied I'm crying  Semolina Pilchard  Climbing up the Eiffel Tower Elementary penguin singing Hare Krishna Man, you should've seen them kicking Edgar Allan Poe  I am the Eggman (whoo!) They are the Eggmen (whoo!) I am the Walrus (whoo!) Goo goo g'joob, goo goo g'joob Goo goo g'joob, goo goo g'joob, goob Jooba, jooba, jooba Jooba, jooba, jooba Jooba, jooba Jooba, jooba Oompah, oompah, stick it up your jumper (jooba, jooba) Oompah, oompah, stick it up your jumper Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Slave, Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) thou hast slain me: Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) - villain, take my purse: Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) (If ever...) Everybody's got one (Oompah, oompah) (... bury my body) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) (... the letters which thou find'st about me) Everybody's got one (Oompah, oompah) (To) Everybody's got one (stick it up your jumper) (Edmund Earl of Gloucester) Everybody's got one (Oompah, oompah) (seek him out) Everybody's got one (stick it up your jumper) (Upon the British party:) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) (O, untimely) Everybody's got one (Oompah, oompah) (death!) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) (I know thee well:) Everybody's got one (stick it up your jumper) (a serviceable villain) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) (As duteous to the vices of thy mistress) Everybody's got one (Oompah, oompah) (As badness would desire.) Everybody's got one (stick it up your jumper) (What, is he dead?) Everybody's got one (Oompah, oompah) (Sit you down, father) Everybody's got one (stick it up your jumper) (rest you.-);The Beatles;I Am the Walrus
